,,Team,GM(s),Salary,Cap Status,Over/under,Points,Games,Wins,Losses,Ties,Goals for,Goals Against,Team +/-,Ranking,TAPG,DrPG,,,,Wins,Goals,Assists,Second Assists,Ds,TA,RE,Goal/Total Assist,Goal / Assist,Assist / TA,Turns / D,Turns - D,Games Played,Rank,Cap Floor
Y,1,Wocka Wocka WARREN and OFER the Grouch,Nancy-Ofer,"$2,658,835",Under Cap,"-$5,459",7,4,3,0,1,80,61,19,1,7019,7,19,719,y,29,56,71,60,36,67,9,0.427,0.789,1.955,2.111111111,40,46,850,63000
Y,2,"WenBert, MichErnie, and their Rubber Duckies",Michael-Wendy,"$2,620,075",Under Cap,"-$44,219",6,4,3,1,0,83,76,7,2,6007,6,7,607,y,24.5,46,73,48,42,80,8,0.380,0.630,1.513,2.095238095,46,44,979,63000
Y,3,Mahna MahnAnders,Anders,"$2,649,963",Under Cap,"-$14,330",6,4,3,1,0,75,75,0,3,6000,6,0,600,y,27,60,58,40,39,82,12,0.612,1.034,1.195,2.41025641,55,47,1028,63000
Y,4,The Yubrina Mayhem,Sabrina-Yubai,"$2,660,624",Under Cap,"-$3,670",5,4,2,1,1,70,71,-1,4,4999,5,-1,499,y,24,61,62,38,30,74,19,0.610,0.984,1.351,3.1,63,43,990,63000
Y,5,"C is for Cat, That's Good Enough for Hodges",Cat-Marc,"$2,622,529",Under Cap,"-$41,764",4,4,2,2,0,75,70,5,5,4005,4,5,405,y,27.5,65,76,46,39,92,9,0.533,0.855,1.326,2.58974359,62,46,919,63000
Y,6,"SeSAMe Street, ft. Kermit the fROB 🐸",Rob-Sam,"$2,631,655",Under Cap,"-$32,638",4,4,2,2,0,75,71,4,6,4004,4,4,404,y,28.5,67,71,42,50,73,14,0.593,0.944,1.548,1.74,37,51,819,63000
Y,7,HELmo and DANzo's Chaos at the Carnival,Daniel-Helen,"$2,660,829",Under Cap,"-$3,464",4,4,2,2,0,74,72,2,7,4002,4,2,402,y,23,64,65,55,39,75,14,0.533,0.985,1.600,2.282051282,50,45,955,63000
Y,8,Pepé the Quin Prawn,Quinto,"$2,634,838",Under Cap,"-$29,456",2,4,1,3,0,65,77,-12,8,1988,2,-12,188,y,11,56,50,31,30,50,17,0.691,1.120,1.620,2.233333333,37,34,1103,63000
Y,9,Tickle me EL-shiMO,James-Vikki,"$2,652,275",Under Cap,"-$12,019",2,4,1,3,0,68,81,-13,9,1987,2,-13,187,y,14,59,64,45,43,59,10,0.541,0.922,1.847,1.604651163,26,47,940,63000
Y,10,Count Von Cattanach,Dylan,"$2,601,294",Under Cap,"-$63,000",0,4,0,4,0,72,83,-11,10,-11,0,-11,-11,y,6,49,47,42,21,62,10,0.551,1.043,1.435,3.428571429,51,37,1193,63000
